"","X2_clusters","X3_clusters","X4_clusters","X5_clusters"
"pathway_1",1,1,1,1
"pathway_10",1,1,1,1
"pathway_11",1,1,2,2
"pathway_12",1,1,2,3
"pathway_13",1,1,2,2
"pathway_14",1,1,2,2
"pathway_15",1,1,2,2
"pathway_17",1,1,2,2
"pathway_18",1,1,2,2
"pathway_19",1,1,2,2
"pathway_2",2,2,3,4
"pathway_21",1,1,2,2
"pathway_22",2,2,3,4
"pathway_23",1,1,2,2
"pathway_24",1,1,2,2
"pathway_25",2,2,3,4
"pathway_26",1,1,2,2
"pathway_27",2,2,3,4
"pathway_28",2,2,3,4
"pathway_29",1,3,4,5
"pathway_3",1,1,1,1
"pathway_30",2,2,3,4
"pathway_31",2,2,3,4
"pathway_32",1,3,4,5
"pathway_33",1,3,4,5
"pathway_34",2,2,3,4
"pathway_35",1,3,4,5
"pathway_36",2,2,3,4
"pathway_37",2,2,3,4
"pathway_38",2,2,3,4
"pathway_39",2,2,3,4
"pathway_4",2,2,3,4
"pathway_40",1,3,4,5
"pathway_41",1,1,2,2
"pathway_42",2,2,3,4
"pathway_43",2,2,3,4
"pathway_44",1,1,2,2
"pathway_45",1,1,2,2
"pathway_46",1,1,2,2
"pathway_47",1,1,2,2
"pathway_48",1,1,1,1
"pathway_49",1,3,4,5
"pathway_5",1,1,1,1
"pathway_50",1,1,2,2
"pathway_51",1,1,2,3
"pathway_52",1,1,2,3
"pathway_53",1,1,2,2
"pathway_54",1,1,2,2
"pathway_55",1,1,2,3
"pathway_56",1,1,2,2
"pathway_57",1,1,2,3
"pathway_58",1,1,2,3
"pathway_59",1,1,2,2
"pathway_6",1,3,4,5
"pathway_60",1,1,2,2
"pathway_61",1,1,2,2
"pathway_62",1,1,2,2
"pathway_63",1,1,2,2
"pathway_64",1,1,2,2
"pathway_65",1,1,2,2
"pathway_66",1,1,2,2
"pathway_67",1,1,2,2
"pathway_68",1,1,2,2
"pathway_69",1,1,2,2
"pathway_7",2,2,3,4
"pathway_70",1,1,2,2
"pathway_71",2,2,3,4
"pathway_72",1,1,2,2
"pathway_73",1,3,4,5
"pathway_74",1,1,2,2
"pathway_75",1,1,2,2
"pathway_76",1,1,2,2
"pathway_77",2,2,3,4
"pathway_78",1,1,2,2
"pathway_79",1,1,2,2
"pathway_8",2,2,3,4
"pathway_80",1,1,2,2
"pathway_9",1,1,1,1
